concept_id,concept,aliases,slide_snippets,embedding_source,embedding_token
51,document retrieval,document retrieval,"[""why a case study approach welcome [MUSIC] So the way we're gonna learn about this data to intelligence pipeline is by examining a number of case studies that are gonna ground the methods that we present in real world applications. And that's one of the really unique features of this course. In our first case study, we're gonna look at predicting house values. So, the intelligence we're deriving is a value associated with some house that's not on the market. So, we don't know what it's value is a"", ""document retrieval a case study in clustering and measuring similarity clustering and similarity retrieving documents [MUSIC] Okay, so in this module, we're gonna talk about clustering and similarity. And the point here is the fact that often we have lots of observations, and we want to infer some kind of structure underlying these observations. And in this case, the structure we're gonna talk about is groups of related observations or clusters. And as with all of our modules, we're gonna motiva"", ""what is the document retrieval task clustering and similarity retrieving documents [MUSIC] So let's start with describing this task in a little bit more detail. Okay, so let's say we're sitting here, reading an article. Here we are, reading our article. And actually it's Carlos who's reading this article, because this is an article about soccer. Or as he would call it football if he was wearing his Argentina jersey or footsie ball if he was wearing his Brazil jersey and clearly, I'm not pronounc""]",canonical_phrase,__phrase__document_retrieval
52,early stopping,early stopping,"[""principle of occams razor learning simpler decision trees preventing overfitting in decision trees [MUSIC] So what does it mean to avoid overfitting in decision trees, what does it mean to stop a little earlier, or what does it mean to try to simplify the types of trees that we learned so that we don't have these crazy overfitting problems. And what we'll use is a type of regularization which bias is a sort simpler trees, and that's also can philosophically relate to the concept called Occam's r"", ""early stopping in learning decision trees preventing overfitting in decision trees [MUSIC] Well, let's start with the idea of early stopping where we keep going down but we stop before the tree gets too complex. So, how does that work? Simply recall that as we add more depth to the tree we're increasing the complexity of the model. And so if we are avoiding these super complex models now we can just avoid very deep trees. So the first early stopping condition is absolutely simple, just limit the"", ""optional motivating pruning preventing overfitting in decision trees [MUSIC] Often, the best way to prevent overfitting decision trees however, is to use pruning. Where you grow the tree to be much bigger than you need, and then you chop off parts that turn out to be less important. Now, pruning is very important if you're implementing a real world decision tree algorithm. However, the details can get a little tedious. Not too mathematical but just a lot of little things you have to, a lot of Ts""]",canonical_phrase,__phrase__early_stopping
53,error analysis,error analysis,"[""prioritizing what to work on machine learning system design In the next few videos I'd like to talk about machine learning system design. These videos will touch on the main issues that you may face when designing a complex machine learning system, and will actually try to give advice on how to strategize putting together a complex machine learning system. In case this next set of videos seems a little disjointed that's because these videos will touch on a range of the different issues that you "", ""error analysis machine learning system design In the last video I talked about how, when faced with a machine learning problem, there are often lots of different ideas for how to improve the algorithm. In this video, let's talk about the concept of error analysis. Which will hopefully give you a way to more systematically make some of these decisions. If you're starting work on a machine learning problem, or building a machine learning application. It's often considered very good practice to sta"", ""error metrics for skewed classes machine learning system design In the previous video, I talked about error analysis and the importance of having error metrics, that is of having a single real number evaluation metric for your learning algorithm to tell how well it's doing. In the context of evaluation and of error metrics, there is one important case, where it's particularly tricky to come up with an appropriate error metric, or evaluation metric, for your learning algorithm. That case is the c""]",canonical_phrase,__phrase__error_analysis
54,error cost function,error cost function,"[""cost function linear regression with one variable In this video we'll define something called the cost function, this will let us figure out how to fit the best possible straight line to our data. In linear progression, we have a training set that I showed here remember on notation M was the number of training examples, so maybe m equals 47. And the form of our hypothesis, which we use to make predictions is this linear function. To introduce a little bit more terminology, these theta zero and t"", ""gradient descent for linear regression linear regression with one variable In previous videos, we talked about the gradient descent algorithm and we talked about the linear regression model and the squared error cost function. In this video we're gonna put together gradient descent with our cost function, and that will give us an algorithm for linear regression or putting a straight line to our data. So this was what we worked out in the previous videos. This gradient descent algorithm which you"", ""backpropagation intuition neural networks learning In the previous video, we talked about the backpropagation algorithm. To a lot of people seeing it for the first time, their first impression is often that wow this is a really complicated algorithm, and there are all these different steps, and I'm not sure how they fit together. And it's kinda this black box of all these complicated steps. In case that's how you're feeling about backpropagation, that's actually okay. Backpropagation maybe unfor""]",word_average,error+cost+function
55,estimated parameters,estimated parameters,"[""discovering hidden structure by matrix factorization recommending products [MUSIC] So to this point though, we've assumed that we know all these Lu user topic vectors. So we can stack them up into this L matrix. And we know all the movie topic factors. So we put them altogether in that R matrix. And then, we multiply the two together to get this big prediction of readings that every user would give to every movie. But important thing here is the fact that we don't actually have this information."", ""recommender systems ml block diagram recommending products [MUSIC] In this module we talked about a notion of collaborative filtering and a couple different recommender systems for implementing that idea where we leverage the types of other products people purchased to recommend other products. And we explored this notion of having some set of customers and products and understanding relationships between these in the context of product recommendation tasks, thinking about movie recommendation. "", ""outlining the first half of the course welcome [MUSIC] This course consists of six different modules, and let's preview what these are about. To start with, we're gonna talk about simple regression, and why is it called simple regression? That's because we're gonna focus on just having a single input, for example the size of your house and when we think about defining the relationship between the single input and our output, the house sales price, we're just gonna look at fitting a very simple l""]",canonical_phrase,__phrase__estimated_parameters
56,evaluation metrics,evaluation metrics,"[""data for machine learning machine learning system design In the previous video, we talked about evaluation metrics. In this video, I'd like to switch tracks a bit and touch on another important aspect of machine learning system design, which will often come up, which is the issue of how much data to train on. Now, in some earlier videos, I had cautioned against blindly going out and just spending lots of time collecting lots of data, because it's only sometimes that that would actually help. But"", ""developing and evaluating an anomaly detection system anomaly detection In the last video, we developed an anomaly detection algorithm. In this video, I like to talk about the process of how to go about developing a specific application of anomaly detection to a problem and in particular this will focus on the problem of how to evaluate an anomaly detection algorithm. In previous videos, we've already talked about the importance of real number evaluation and this captures the idea that when you'"", ""summary and thank you application example photo ocr Welcome to the final video of this Machine Learning class. We've been through a lot of different videos together. In this video I would like to just quickly summarize the main topics of this course and then say a few words at the end and that will wrap up the class. So what have we done? In this class we spent a lot of time talking about supervised learning algorithms like linear regression, logistic regression, neural networks, SVMs. for probl""]",canonical_phrase,__phrase__evaluation_metrics
57,expectation maximization,expectation maximization,"[""specialization overview welcome [MUSIC] As Emily discussed, we're gonna see machine learning through the lens of a wide range of case studies in different areas that really ground the concepts behind them. So, other machine learning classes that you might take out there are really a laundry list of algorithms and methods. So things like support vector machines and kernels and logistic ration and networks and so on. And they're just like, a laundry list of methods. And the problem with that appro"", ""whats ahead in the ml specialization closing remarks [MUSIC] So that's what we've covered in our regression course. But now let's talk about what's ahead for us in our specialization, now that we're armed with these tools that we've learned in this course. Well our next course is our classification course and there we're gonna learn things like linear classifiers which are akin to the types of linear regression models we looked at in this course. You are also gonna talk about things like decisio"", ""course overview welcome [MUSIC] This course is going to follow the same philosophy as our past courses. In particular, we're going to use case studies to motivate the key concepts that we're going to teach. But there are a number of other key features that define the way we teach our courses in this specialization. In particular, we teach a set of core machine learning concepts and we do so both through our case studies as well as using visual aids to very dramatically guide the process. And the""]",canonical_phrase,__phrase__expectation_maximization
58,f1 score,f1 score,"[""developing and evaluating an anomaly detection system anomaly detection In the last video, we developed an anomaly detection algorithm. In this video, I like to talk about the process of how to go about developing a specific application of anomaly detection to a problem and in particular this will focus on the problem of how to evaluate an anomaly detection algorithm. In previous videos, we've already talked about the importance of real number evaluation and this captures the idea that when you'"", ""summary and thank you application example photo ocr Welcome to the final video of this Machine Learning class. We've been through a lot of different videos together. In this video I would like to just quickly summarize the main topics of this course and then say a few words at the end and that will wrap up the class. So what have we done? In this class we spent a lot of time talking about supervised learning algorithms like linear regression, logistic regression, neural networks, SVMs. for probl""]",canonical_phrase,__phrase__f1_score
59,face detection,face detection,"[""ceiling analysis what part of the pipeline to work on next application example photo ocr In earlier videos, I've said over and over that, when you're developing a machine learning system, one of the most valuable resources is your time as the developer, in terms of picking what to work on next. Or, if you have a team of developers or a team of engineers working together on a machine learning system. Again, one of the most valuable resources is the time of the engineers or the developers working "", ""ensemble methods impact of boosting quick recap boosting [MUSIC] I'd like to take a moment now to summarize we've seen boosting and what impacts it's had in the real world. Let's talk about AdaBoost. So AdaBoost is one of the early types of boosting algorithms. Extremely useful, but there other algorithms out there. In particular, there's one called gradient boosting, which is slightly more complicated but extremely similar. And it's like AdaBoost, but it can be useful not not just for basic cla""]",canonical_phrase,__phrase__face_detection
60,false negative,false negative::;false negatives,"[""error metrics for skewed classes machine learning system design In the previous video, I talked about error analysis and the importance of having error metrics, that is of having a single real number evaluation metric for your learning algorithm to tell how well it's doing. In the context of evaluation and of error metrics, there is one important case, where it's particularly tricky to come up with an appropriate error metric, or evaluation metric, for your learning algorithm. That case is the c"", ""developing and evaluating an anomaly detection system anomaly detection In the last video, we developed an anomaly detection algorithm. In this video, I like to talk about the process of how to go about developing a specific application of anomaly detection to a problem and in particular this will focus on the problem of how to evaluate an anomaly detection algorithm. In previous videos, we've already talked about the importance of real number evaluation and this captures the idea that when you'"", ""false positives false negatives and confusion matrices classification analyzing sentiment [MUSIC] We talked about accuracy and errors that a classifier might make. But there are different kinds of errors. So this kind of errors are called types of mistakes. It's important to look at the types of mistakes a classifier might make. And one way to do that is through what's called a confusion matrix. So, let's take that in a little bit. So we're talking about the relationship between the true label a""]",canonical_phrase,__phrase__false_negative
61,false positives,false positives,"[""error metrics for skewed classes machine learning system design In the previous video, I talked about error analysis and the importance of having error metrics, that is of having a single real number evaluation metric for your learning algorithm to tell how well it's doing. In the context of evaluation and of error metrics, there is one important case, where it's particularly tricky to come up with an appropriate error metric, or evaluation metric, for your learning algorithm. That case is the c"", ""developing and evaluating an anomaly detection system anomaly detection In the last video, we developed an anomaly detection algorithm. In this video, I like to talk about the process of how to go about developing a specific application of anomaly detection to a problem and in particular this will focus on the problem of how to evaluate an anomaly detection algorithm. In previous videos, we've already talked about the importance of real number evaluation and this captures the idea that when you'"", ""false positives false negatives and confusion matrices classification analyzing sentiment [MUSIC] We talked about accuracy and errors that a classifier might make. But there are different kinds of errors. So this kind of errors are called types of mistakes. It's important to look at the types of mistakes a classifier might make. And one way to do that is through what's called a confusion matrix. So, let's take that in a little bit. So we're talking about the relationship between the true label a""]",canonical_phrase,__phrase__false_positives
62,feature engineering,feature engineering,"[""interacting with columns of an sframe welcome [MUSIC] So next, we're going to inspect some columns of our data set. So let me, let's inspect some columns of the data set. So let's take a look at it. So if I type sf['Country'], what it's gonna do is select a column country, and since I don't do anything to it, I don't set it equal to anything. It's just going to print it. Now, it says United States, Canada, England, USA, Poland, United States, Switzerland. So, that's the whole column, but printed"", ""challenge of missing data handling missing data [MUSIC] So far in this specialization data has always looked pretty beautiful. We sometimes end the look at little features in the area like taking raw text and turning into counts of words, the TFIDF, sometimes we created more advanced feature like polynomials, sines and cosines and so on. We did feature transformations, feature engineering but we always observe all of our data, so for every feature we always observe every possible value for every"", ""distance metrics euclidean and scaled euclidean nearest neighbor search [MUSIC] So this leads us straight into a discussion of how are we going to compute this distance between two given articles. Well, when we're in 1D one really simple measure that we can use is just Euclidean distance. And hopefully, this should be fairly familiar to you, but this really isn't going to be something of interest to us because this would be assuming that we just have, in our example, just one word in our vocabul""]",canonical_phrase,__phrase__feature_engineering
63,feature extraction,feature extraction::;feature extractor,"[""regression ml block diagram regression predicting house prices [MUSIC] In this module, we've seen how regression can be used to predict house prices and also be useful in a wide range of other applications. So, in the introduction to this course, Carlos introduced this machine learning pipeline, where we go from data, which gets shoved into some machine learning method, and we use that to derive intelligence. Well, let's dig into this block diagram and expand it, now that we've seen these some o"", ""classification ml block diagram classification analyzing sentiment [MUSIC] Now we've seen classification in a wide variety of settings and how we can really use to predict a class like a positive or negative sentiment from data. In the regression section, Amy talked about this block diagram that really describes how a machine learning algorithm iterates through its data. So now let’s take this same block diagram and work through it and describe how it works out in the case of classification with"", ""deep learning ml block diagram deep learning searching for images [MUSIC] >> We've now seen how cool deep learning can be. We cannot apply it in a wide range of areas and yet we need high accuracy by learning really detailed features of our data, and how your networks can support that. We've seen how it can be applied for various tasks in image analysis in computer vision. Let's now revisit the block diagram that we saw summarizing regression and classification and other machinery tasks. How can""]",canonical_phrase,__phrase__feature_extraction
64,feature scaling,feature scaling,"[""gradient descent in practice i feature scaling linear regression with multiple variables In this video and in the video after this one, I wanna tell you about some of the practical tricks for making gradient descent work well. In this video, I want to tell you about an idea called feature skill. Here's the idea. If you have a problem where you have multiple features, if you make sure that the features are on a similar scale, by which I mean make sure that the different features take on similar r"", ""features and polynomial regression linear regression with multiple variables You now know about linear regression with multiple variables. In this video, I wanna tell you a bit about the choice of features that you have and how you can get different learning algorithm, sometimes very powerful ones by choosing appropriate features. And in particular I also want to tell you about polynomial regression allows you to use the machinery of linear regression to fit very complicated, even very non-linea"", ""normal equation linear regression with multiple variables In this video, we'll talk about the normal equation, which for some linear regression problems, will give us a much better way to solve for the optimal value of the parameters theta. Concretely, so far the algorithm that we've been using for linear regression is gradient descent where in order to minimize the cost function J of Theta, we would take this iterative algorithm that takes many steps, multiple iterations of gradient descent to ""]",canonical_phrase,__phrase__feature_scaling
65,feature selection,feature selection,"[""outlining the second half of the course welcome [MUSIC] As one example of a way to handle this bias variance trade off, we're gonna talk about something called ridge regression, which not only includes a term that measures the fit of the function to the data, which is what we talked about before, but also incorporates a term that encodes what the model complexity is. Not quite directly, pretty indirectly as we're gonna describe in this module. But a key question then is how are we gonna define t"", ""the feature selection task feature selection lasso [MUSIC] In this module, we're gonna discuss how to select amongst a set of features to include in our model. And to do this, we're first gonna start by describing a way to explicitly search over all possible models. And then what we're gonna do is describe a way to implicitly do a feature selection using regularized regression, akin to the types of ideas we were talking about when we discussed ridge regression. So let's start by motivating this "", ""all subsets feature selection lasso [MUSIC] Okay, so how are we going to go about this feature selection task? Well one option we have, is the obvious choice, which is to search over every possible combination of features we might want to include in our model and look at the performance of each of those models. And that's exactly what the all subsets algorithm does and we're going to describe this now. Okay, well the all subsets algorithm starts by considering a model with absolutely no features""]",canonical_phrase,__phrase__feature_selection
66,feature space,feature space,"[""non linear hypotheses neural networks representation In this and in the next set of videos, I'd like to tell you about a learning algorithm called a Neural Network. We're going to first talk about the representation and then in the next set of videos talk about learning algorithms for it. Neutral networks is actually a pretty old idea, but had fallen out of favor for a while. But today, it is the state of the art technique for many different machine learning problems. So why do we need yet anoth"", ""using an svm support vector machines So far we've been talking about SVMs in a fairly abstract level. In this video I'd like to talk about what you actually need to do in order to run or to use an SVM. The support vector machine algorithm poses a particular optimization problem. But as I briefly mentioned in an earlier video, I really do not recommend writing your own software to solve for the parameter's theta yourself. So just as today, very few of us, or maybe almost essentially none of us wo"", ""module 1 recap hierarchical clustering closing remarks Congratulations on getting to the end of the clustering and retrieval course. We've covered a lot of ground in this course and in addition a lot of really advanced material. But through this course, you've learned some very practical algorithms for performing clustering and retrieval, and you should be able to actually go out there, implement these methods, and deploy them on real world problems. But before we wrap up, let's spend a little t""]",canonical_phrase,__phrase__feature_space
67,feature vector,feature vector::;feature vectors,"[""multiple features linear regression with multiple variables in this video we will start to talk about a new version of linear regression that's more powerful. One that works with multiple variables or with multiple features. Here's what I mean. In the original version of linear regression that we developed, we have a single feature x, the size of the house, and we wanted to use that to predict why the price of the house and this was our form of our hypothesis. But now imagine, what if we had not"", ""normal equation linear regression with multiple variables In this video, we'll talk about the normal equation, which for some linear regression problems, will give us a much better way to solve for the optimal value of the parameters theta. Concretely, so far the algorithm that we've been using for linear regression is gradient descent where in order to minimize the cost function J of Theta, we would take this iterative algorithm that takes many steps, multiple iterations of gradient descent to "", ""hypothesis representation logistic regression Let's start talking about logistic regression. In this video, I'd like to show you the hypothesis representation. That is, what is the function we're going to use to represent our hypothesis when we have a classification problem? Earlier, we said that we would like our classifier to output values that are between 0 and 1. So we'd like to come up with a hypothesis that satisfies this property, that is, predictions are maybe between 0 and 1. When we we""]",canonical_phrase,__phrase__feature_vector
68,forward propagation,forward propagation,"[""model representation ii neural networks representation In the last video, we gave a mathematical definition of how to represent or how to compute the hypotheses used by Neural Network. In this video, I like show you how to actually carry out that computation efficiently, and that is show you a vector rise implementation. And second, and more importantly, I want to start giving you intuition about why these neural network representations might be a good idea and how they can help us to learn comp"", ""backpropagation algorithm neural networks learning In the previous video, we talked about a cost function for the neural network. In this video, let's start to talk about an algorithm, for trying to minimize the cost function. In particular, we'll talk about the back propagation algorithm. Here's the cost function that we wrote down in the previous video. What we'd like to do is try to find parameters theta to try to minimize j of theta. In order to use either gradient descent or one of the adva"", ""backpropagation intuition neural networks learning In the previous video, we talked about the backpropagation algorithm. To a lot of people seeing it for the first time, their first impression is often that wow this is a really complicated algorithm, and there are all these different steps, and I'm not sure how they fit together. And it's kinda this black box of all these complicated steps. In case that's how you're feeling about backpropagation, that's actually okay. Backpropagation maybe unfor""]",canonical_phrase,__phrase__forward_propagation
69,gaussian density,gaussian density::;gaussian probability density::;gaussian distribution::;normal distribution,"[""basic operations octave matlab tutorial You now know a bunch about machine learning. In this video, I like to teach you a programing language, Octave, in which you'll be able to very quickly implement the the learning algorithms we've seen already, and the learning algorithms we'll see later in this course. In the past, I've tried to teach machine learning using a large variety of different programming languages including C++ Java, Python, NumPy, and also Octave, and what I found was that studen"", ""problem motivation anomaly detection In this next set of videos, I'd like to tell you about a problem called Anomaly Detection. This is a reasonably commonly use you type machine learning. And one of the interesting aspects is that it's mainly for unsupervised problem, that there's some aspects of it that are also very similar to sort of the supervised learning problem. So, what is anomaly detection? To explain it. Let me use the motivating example of: Imagine that you're a manufacturer of aircr"", ""gaussian distribution anomaly detection In this video, I'd like to talk about the Gaussian distribution which is also called the normal distribution. In case you're already intimately familiar with the Gaussian distribution, it's probably okay to skip this video, but if you're not sure or if it has been a while since you've worked with the Gaussian distribution or normal distribution then please do watch this video all the way to the end. And in the video after this we'll start applying the Gaus""]",canonical_phrase,__phrase__gaussian_density
70,gaussian kernel,gaussian kernel,"[""kernels i support vector machines In this video, I'd like to start adapting support vector machines in order to develop complex nonlinear classifiers. The main technique for doing that is something called kernels. Let's see what this kernels are and how to use them. If you have a training set that looks like this, and you want to find a nonlinear decision boundary to distinguish the positive and negative examples, maybe a decision boundary that looks like that. One way to do so is to come up wit"", ""kernels ii support vector machines In the last video, we started to talk about the kernels idea and how it can be used to define new features for the support vector machine. In this video, I'd like to throw in some of the missing details and, also, say a few words about how to use these ideas in practice. Such as, how they pertain to, for example, the bias variance trade-off in support vector machines. In the last video, I talked about the process of picking a few landmarks. You know, l1, l2, l3"", ""using an svm support vector machines So far we've been talking about SVMs in a fairly abstract level. In this video I'd like to talk about what you actually need to do in order to run or to use an SVM. The support vector machine algorithm poses a particular optimization problem. But as I briefly mentioned in an earlier video, I really do not recommend writing your own software to solve for the parameter's theta yourself. So just as today, very few of us, or maybe almost essentially none of us wo""]",canonical_phrase,__phrase__gaussian_kernel
71,gaussian model,gaussian model,"[""anomaly detection using the multivariate gaussian distribution anomaly detection In the last video we talked about the Multivariate Gaussian Distribution and saw some examples of the sorts of distributions you can model, as you vary the parameters, mu and sigma. In this video, let's take those ideas, and apply them to develop a different anomaly detection algorithm. To recap the multivariate Gaussian distribution and the multivariate normal distribution has two parameters, mu and sigma. Where mu"", ""an alternative document clustering model mixed membership modeling via latent dirichlet allocation [MUSIC] To build up to mixed membership models for documents though, it's helpful to first present an alternative clustering model to the mixture of Gaussian model we presented in the last module. So, just to emphasize, we're going back to our clustering model, where we're going to assume this more simple structure where every document is assigned to a single topic. But so far, when we've looked at"", ""module 3 recap hierarchical clustering closing remarks [MUSIC] In our third module, we continued this discussion of clustering, but within the context of probabilistic model based approaches, specifically mixture models. And we discuss how mixture models allow us to capture uncertainty in the assignment of data points to clusters, and we also motivated the use of mixture models as opposed to k-means, just by describing some of the failure modes of k-means. Because k-means assume these sphericall""]",canonical_phrase,__phrase__gaussian_model
72,gaussian random variable,gaussian random variable,"[""basic operations octave matlab tutorial You now know a bunch about machine learning. In this video, I like to teach you a programing language, Octave, in which you'll be able to very quickly implement the the learning algorithms we've seen already, and the learning algorithms we'll see later in this course. In the past, I've tried to teach machine learning using a large variety of different programming languages including C++ Java, Python, NumPy, and also Octave, and what I found was that studen""]",canonical_phrase,__phrase__gaussian_random_variable
73,generalization error,generalization error,"[""model selection and train validation test sets advice for applying machine learning Suppose you're left to decide what degree of polynomial to fit to a data set. So that what features to include that gives you a learning algorithm. Or suppose you'd like to choose the regularization parameter longer for learning algorithm. How do you do that? This account model selection process. Browsers, and in our discussion of how to do this, we'll talk about not just how to split your data into the train and"", ""diagnosing bias vs variance advice for applying machine learning If you run the learning algorithm and it doesn't do as well as you are hoping, almost all the time it will be because you have either a high bias problem or a high variance problem. In other words they're either an underfitting problem or an overfitting problem. And in this case it's very important to figure out which of these two problems is bias or variance or a bit of both that you actually have. Because knowing which of these t"", ""generalization error what we really want assessing performance [MUSIC] So, instead of using training error to assess our predictive performance. What we'd really like to do is analyze something that's called generalization or true error. So, in particular, we really want an estimate of what the loss is averaged over all houses that we might ever see in our neighborhood. But really, in our dataset we only have a few examples of houses that were sold. But there are lots of other houses that are in""]",canonical_phrase,__phrase__generalization_error
74,generalized linear models,generalized linear models,"[""what we covered and what we didn t cover closing remarks [MUSIC] Okay, so here's a summary of the large set of topics that we've covered in this course. We talked about a bunch of models including, different models of linear regression from simple regression to multiple regression. We talked about doing ridge regression and Lasso. And then, Nearest neighbors and kernel regression. And we also talked about some very important optimisation algorithms like Gradient descent and Coordinate descent. A"", ""predicting class probabilities with generalized linear models linear classifiers logistic regression [MUSIC] Now let's take a deep dive, and understand how we're going to predict the probability that a sentence is positive or negative using linear classifiers. Or we call them linear models. So now we're taking some input data x. We're going to compute some features h, and we're going to output this P hat, the probability that the label is positive or negative. Now if you'll go back to our exampl"", ""the sigmoid or logistic link function linear classifiers logistic regression [MUSIC] >> Very good. Now, we learn this abstract concept of squeezing the score into the interval 0, 1. And we call it generalized linear models. It's pretty abstract. Logistic regression is a specific case of that, where we use what's called the logistic function to squeeze minus infinity to plus infinity into the interval 0, 1 so we can predict probabilities for every class. For logistic regression, the link function""]",canonical_phrase,__phrase__generalized_linear_models
75,gibbs sampler,gibbs sampler::;gibbs sampling,"[""course overview welcome [MUSIC] This course is going to follow the same philosophy as our past courses. In particular, we're going to use case studies to motivate the key concepts that we're going to teach. But there are a number of other key features that define the way we teach our courses in this specialization. In particular, we teach a set of core machine learning concepts and we do so both through our case studies as well as using visual aids to very dramatically guide the process. And the"", ""the need for bayesian inference mixed membership modeling via latent dirichlet allocation [MUSIC] Let's now describe a specific algorithm we can use for entrance in our LDA model. An algorithm we're going to cover is called Gibbs sampling. Recall that for the clustering task, we focused on two different algorithms. One was k-means which iterated between the following steps where we're making hard assignments of datapoints to clusters. And we said that we can view k-means as a coordinate descent "", ""gibbs sampling from 10 000 feet mixed membership modeling via latent dirichlet allocation [MUSIC] But, as an alternative, we can perform Bayesian inference using a totally different algorithm called Gibbs sampling. And in Gibbs sampling, we're going to iteratively provide hard assignments just like we did in k-means, but these hard assignments are going to be drawn randomly from a specific distribution, whereas remembering k-means, we just solved an equation and got a solution. But the point her""]",canonical_phrase,__phrase__gibbs_sampler
76,global minimum,global minimum,"[""gradient descent intuition linear regression with one variable In the previous video, we gave a mathematical definition of gradient descent. Let's delve deeper and in this video get better intuition about what the algorithm is doing and why the steps of the gradient descent algorithm might make sense. Here's a gradient descent algorithm that we saw last time and just to remind you this parameter, or this term alpha is called the learning rate. And it controls how big a step we take when updating"", ""gradient descent for linear regression linear regression with one variable In previous videos, we talked about the gradient descent algorithm and we talked about the linear regression model and the squared error cost function. In this video we're gonna put together gradient descent with our cost function, and that will give us an algorithm for linear regression or putting a straight line to our data. So this was what we worked out in the previous videos. This gradient descent algorithm which you"", ""gradient descent in practice i feature scaling linear regression with multiple variables In this video and in the video after this one, I wanna tell you about some of the practical tricks for making gradient descent work well. In this video, I want to tell you about an idea called feature skill. Here's the idea. If you have a problem where you have multiple features, if you make sure that the features are on a similar scale, by which I mean make sure that the different features take on similar r""]",canonical_phrase,__phrase__global_minimum
77,global optimum,global optimum,"[""gradient descent for linear regression linear regression with one variable In previous videos, we talked about the gradient descent algorithm and we talked about the linear regression model and the squared error cost function. In this video we're gonna put together gradient descent with our cost function, and that will give us an algorithm for linear regression or putting a straight line to our data. So this was what we worked out in the previous videos. This gradient descent algorithm which you"", ""putting it together neural networks learning So, it's taken us a lot of videos to get through the neural network learning algorithm. In this video, what I'd like to do is try to put all the pieces together, to give a overall summary or a bigger picture view, of how all the pieces fit together and of the overall process of how to implement a neural network learning algorithm. When training a neural network, the first thing you need to do is pick some network architecture and by architecture I jus"", ""k means as coordinate descent clustering with k means [MUSIC] K-means might seem like heuristic algorithm but you can actually view it as an example of a coordinate descent algorithm. In particular K-means iterate between two steps. One is assigning observations to the nearest cluster center. And the other is updating the cluster centers. Well, this first step where we assign observations to the nearest cluster center, we can clearly see from this equation is equivalent to minimizing the given o""]",canonical_phrase,__phrase__global_optimum
78,gradient algorithm,gradient algorithm,"[""choosing step size learning linear classifiers [MUSIC] So far when we talked about gradient decent and gradient ascent we had the step size parameter a that we just assumed to be given. Let's talk a little about how to choose that step size parameter a. Spoiler alert this is really hard, it requires lots of tuning and one of the annoying things about gradient assent approach. We're going to talk about a few heuristics of how we might want to do that. Now one of the most important things you can "", ""why would stochastic gradient ever work scaling to huge datasets online learning [MUSIC] So we've made a small change to the gradient algorithm but it is still big. We start looking at all the data points one at a time. Why should this even work? Why is this a good idea at all? Let's spend a little bit of time getting intuition of why it works. And this intuition is going to help us understand the behavior of the algorithm in practice. In this picture, I'm showing you the landscape, the counter "", ""shuffle data before running stochastic gradient scaling to huge datasets online learning [MUSIC] You've heard me hint about this a lot today, and the practical issues of stochastic gradient are pretty significant. So for most of the remaining of the module, we'll talk about how to address some of those practical issues. Let's take a moment to review the stochastic gradient algorithm. We initialize our parameters, our coefficients to some value, let's say all 0. And then until convergence, we go ""]",canonical_phrase,__phrase__gradient_algorithm
79,gradient ascent,gradient ascent,"[""assumed background welcome [MUSIC] We're not starting from scratch in this course, and we're going to assume some background from all of us. In fact, we're going to assume that you've taken the first two courses in the specialization. This is really fundamental. From the first course, you gained a wide view of what's possible to do with machine learning. And if you already have that view, it's okay. But this is something that's going to be very helpful, as well as facilitating kind of your progr"", ""overview of learning logistic regression models linear classifiers logistic regression [MUSIC] Now that we've seen the logistic regression model and we understand it in quite a bit of detail, let's give a quick overview of what learning means for this model. Although in the next module we're going to go into quite a lot of detail to learning algorithm. This is just a little primer, a teaser for what's coming in the next module. Now we're going to start from some data and that data has inputs x a"", ""intuition behind maximum likelihood estimation learning linear classifiers [MUSIC] In order to learn the coefficients w hat from data, we have to define some kind of quality metric so that the coefficients give you the highest quality, that's what w hat is supposed to be. So if we go back to our learning loop when getting some training data, we squeeze it from feature generation, or feature extraction systems, that gets to h(x). In our model is a logistic regression model we're not going to talk""]",canonical_phrase,__phrase__gradient_ascent
80,gradient checking,gradient checking,"[""gradient checking neural networks learning In the last few videos we talked about how to do forward propagation and back propagation in a neural network in order to compute derivatives. But back prop as an algorithm has a lot of details and can be a little bit tricky to implement. And one unfortunate property is that there are many ways to have subtle bugs in back prop. So that if you run it with gradient descent or some other optimizational algorithm, it could actually look like it's working. A"", ""random initialization neural networks learning In the previous video, we've put together almost all the pieces you need in order to implement and train in your network. There's just one last idea I need to share with you, which is the idea of random initialization. When you're running an algorithm of gradient descent, or also the advanced optimization algorithms, we need to pick some initial value for the parameters theta. So for the advanced optimization algorithm, it assumes you will pass it s"", ""putting it together neural networks learning So, it's taken us a lot of videos to get through the neural network learning algorithm. In this video, what I'd like to do is try to put all the pieces together, to give a overall summary or a bigger picture view, of how all the pieces fit together and of the overall process of how to implement a neural network learning algorithm. When training a neural network, the first thing you need to do is pick some network architecture and by architecture I jus""]",canonical_phrase,__phrase__gradient_checking
