concept_id,concept,aliases,slide_snippets,embedding_source,embedding_token,embedding_model
66,feature space,feature space,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
67,feature vector,feature vector::;feature vectors,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
68,forward propagation,forward propagation,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
69,gaussian density,gaussian density::;gaussian probability density::;gaussian distribution::;normal distribution,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d"", ""model parameters . model selection . multi-class classification multiclass classification . multivariate gaussian distribution . multivariate gaussian model . nearest neighbor search . nearest neighbors nearest neighbour . negative example negative examples . neural network neural networks . neural network learning . non-anomalous examples . nonlinear hypotheses . normal equation . normalized features . normalized representation . matrix matrices . ocr problem . online learning . optimal solutio""]",bert,,sentence-transformers/all-mpnet-base-v2
70,gaussian kernel,gaussian kernel,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
71,gaussian model,gaussian model,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d"", ""model parameters . model selection . multi-class classification multiclass classification . multivariate gaussian distribution . multivariate gaussian model . nearest neighbor search . nearest neighbors nearest neighbour . negative example negative examples . neural network neural networks . neural network learning . non-anomalous examples . nonlinear hypotheses . normal equation . normalized features . normalized representation . matrix matrices . ocr problem . online learning . optimal solutio""]",bert,,sentence-transformers/all-mpnet-base-v2
72,gaussian random variable,gaussian random variable,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
73,generalization error,generalization error,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
74,generalized linear models,generalized linear models,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
75,gibbs sampler,gibbs sampler::;gibbs sampling,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
76,global minimum,global minimum,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
77,global optimum,global optimum,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
78,gradient algorithm,gradient algorithm,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d"", ""regression coefficients . regression function . regression model regression models . regression problem . regularization . regularized linear regression . regularized logistic regression . sentiment analysis . sentiment classifier . sigmoid function . spam filtering spam classifier . square distances squared distance . square matrix . square projection error squared projection error . squared error . standard deviation . standard least squares . stochastic gradient algorithm stochastic gradient ""]",bert,,sentence-transformers/all-mpnet-base-v2
79,gradient ascent,gradient ascent,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
80,gradient checking,gradient checking,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
81,gradient descent,gradient descent,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati"", ""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d"", ""k means k-means . k nearest neighbors k-nearest neighbor k-nearest neighbors . k-means objective . kernel function . kernel regression . l1 penalty . labeled data . large margin classifier . lasso regression . latent dirichlet allocation lda model . learning curve learning curves . learning method learning methods learning model learning algorithm learning algorithms . learning problem learning problems learning task . learning rate . learning system . least squares . likelihood function . linea""]",bert,,sentence-transformers/all-mpnet-base-v2
82,greedy algorithm,greedy algorithm::;greedy algorithms,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
83,hidden layer,hidden layer::;hidden layers,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
84,hidden unit,hidden unit::;hidden units,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
85,hierarchical clustering,hierarchical clustering,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
86,high order polynomial,high order polynomial::;high order polynomials,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
87,precision,precision,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d"", ""model parameters . model selection . multi-class classification multiclass classification . multivariate gaussian distribution . multivariate gaussian model . nearest neighbor search . nearest neighbors nearest neighbour . negative example negative examples . neural network neural networks . neural network learning . non-anomalous examples . nonlinear hypotheses . normal equation . normalized features . normalized representation . matrix matrices . ocr problem . online learning . optimal solutio""]",bert,,sentence-transformers/all-mpnet-base-v2
88,recall,recall,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d"", ""model parameters . model selection . multi-class classification multiclass classification . multivariate gaussian distribution . multivariate gaussian model . nearest neighbor search . nearest neighbors nearest neighbour . negative example negative examples . neural network neural networks . neural network learning . non-anomalous examples . nonlinear hypotheses . normal equation . normalized features . normalized representation . matrix matrices . ocr problem . online learning . optimal solutio""]",bert,,sentence-transformers/all-mpnet-base-v2
89,hypothesis,hypothesis,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
90,identity matrics,identity matrics::;identity matrix,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
91,image classification,image classification,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
92,image retrieval,image retrieval,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
93,inner product,inner product::;inner products,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
94,input data,input data,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
95,input layer,input layer,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
96,input space,input space,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
97,input units,input units::;input wires,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
98,iterative algorithm,iterative algorithm,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
99,joint model probability,joint model probability,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
100,k means,k means::;k-means,"[""k means k-means . k nearest neighbors k-nearest neighbor k-nearest neighbors . k-means objective . kernel function . kernel regression . l1 penalty . labeled data . large margin classifier . lasso regression . latent dirichlet allocation lda model . learning curve learning curves . learning method learning methods learning model learning algorithm learning algorithms . learning problem learning problems learning task . learning rate . learning system . least squares . likelihood function . linea""]",bert,,sentence-transformers/all-mpnet-base-v2
101,k nearest neighbors,k nearest neighbors::;k-nearest neighbor::;k-nearest neighbors,"[""k means k-means . k nearest neighbors k-nearest neighbor k-nearest neighbors . k-means objective . kernel function . kernel regression . l1 penalty . labeled data . large margin classifier . lasso regression . latent dirichlet allocation lda model . learning curve learning curves . learning method learning methods learning model learning algorithm learning algorithms . learning problem learning problems learning task . learning rate . learning system . least squares . likelihood function . linea""]",bert,,sentence-transformers/all-mpnet-base-v2
102,k-means objective,k-means objective,"[""k means k-means . k nearest neighbors k-nearest neighbor k-nearest neighbors . k-means objective . kernel function . kernel regression . l1 penalty . labeled data . large margin classifier . lasso regression . latent dirichlet allocation lda model . learning curve learning curves . learning method learning methods learning model learning algorithm learning algorithms . learning problem learning problems learning task . learning rate . learning system . least squares . likelihood function . linea""]",bert,,sentence-transformers/all-mpnet-base-v2
103,kernel function,kernel function,"[""k means k-means . k nearest neighbors k-nearest neighbor k-nearest neighbors . k-means objective . kernel function . kernel regression . l1 penalty . labeled data . large margin classifier . lasso regression . latent dirichlet allocation lda model . learning curve learning curves . learning method learning methods learning model learning algorithm learning algorithms . learning problem learning problems learning task . learning rate . learning system . least squares . likelihood function . linea""]",bert,,sentence-transformers/all-mpnet-base-v2
104,kernel regression,kernel regression,"[""k means k-means . k nearest neighbors k-nearest neighbor k-nearest neighbors . k-means objective . kernel function . kernel regression . l1 penalty . labeled data . large margin classifier . lasso regression . latent dirichlet allocation lda model . learning curve learning curves . learning method learning methods learning model learning algorithm learning algorithms . learning problem learning problems learning task . learning rate . learning system . least squares . likelihood function . linea""]",bert,,sentence-transformers/all-mpnet-base-v2
105,l1 penalty,l1 penalty,"[""k means k-means . k nearest neighbors k-nearest neighbor k-nearest neighbors . k-means objective . kernel function . kernel regression . l1 penalty . labeled data . large margin classifier . lasso regression . latent dirichlet allocation lda model . learning curve learning curves . learning method learning methods learning model learning algorithm learning algorithms . learning problem learning problems learning task . learning rate . learning system . least squares . likelihood function . linea""]",bert,,sentence-transformers/all-mpnet-base-v2
106,labeled data,labeled data,"[""k means k-means . k nearest neighbors k-nearest neighbor k-nearest neighbors . k-means objective . kernel function . kernel regression . l1 penalty . labeled data . large margin classifier . lasso regression . latent dirichlet allocation lda model . learning curve learning curves . learning method learning methods learning model learning algorithm learning algorithms . learning problem learning problems learning task . learning rate . learning system . least squares . likelihood function . linea""]",bert,,sentence-transformers/all-mpnet-base-v2
107,large margin classifier,large margin classifier,"[""k means k-means . k nearest neighbors k-nearest neighbor k-nearest neighbors . k-means objective . kernel function . kernel regression . l1 penalty . labeled data . large margin classifier . lasso regression . latent dirichlet allocation lda model . learning curve learning curves . learning method learning methods learning model learning algorithm learning algorithms . learning problem learning problems learning task . learning rate . learning system . least squares . likelihood function . linea""]",bert,,sentence-transformers/all-mpnet-base-v2
108,lasso regression,lasso regression,"[""k means k-means . k nearest neighbors k-nearest neighbor k-nearest neighbors . k-means objective . kernel function . kernel regression . l1 penalty . labeled data . large margin classifier . lasso regression . latent dirichlet allocation lda model . learning curve learning curves . learning method learning methods learning model learning algorithm learning algorithms . learning problem learning problems learning task . learning rate . learning system . least squares . likelihood function . linea""]",bert,,sentence-transformers/all-mpnet-base-v2
109,latent dirichlet allocation,latent dirichlet allocation::;lda model,"[""k means k-means . k nearest neighbors k-nearest neighbor k-nearest neighbors . k-means objective . kernel function . kernel regression . l1 penalty . labeled data . large margin classifier . lasso regression . latent dirichlet allocation lda model . learning curve learning curves . learning method learning methods learning model learning algorithm learning algorithms . learning problem learning problems learning task . learning rate . learning system . least squares . likelihood function . linea""]",bert,,sentence-transformers/all-mpnet-base-v2
110,learning curve,learning curve::;learning curves,"[""k means k-means . k nearest neighbors k-nearest neighbor k-nearest neighbors . k-means objective . kernel function . kernel regression . l1 penalty . labeled data . large margin classifier . lasso regression . latent dirichlet allocation lda model . learning curve learning curves . learning method learning methods learning model learning algorithm learning algorithms . learning problem learning problems learning task . learning rate . learning system . least squares . likelihood function . linea""]",bert,,sentence-transformers/all-mpnet-base-v2
111,learning method,learning method::;learning methods::;learning model::;learning algorithm::;learning algorithms,"[""k means k-means . k nearest neighbors k-nearest neighbor k-nearest neighbors . k-means objective . kernel function . kernel regression . l1 penalty . labeled data . large margin classifier . lasso regression . latent dirichlet allocation lda model . learning curve learning curves . learning method learning methods learning model learning algorithm learning algorithms . learning problem learning problems learning task . learning rate . learning system . least squares . likelihood function . linea""]",bert,,sentence-transformers/all-mpnet-base-v2
112,learning problem,learning problem::;learning problems::;learning task,"[""k means k-means . k nearest neighbors k-nearest neighbor k-nearest neighbors . k-means objective . kernel function . kernel regression . l1 penalty . labeled data . large margin classifier . lasso regression . latent dirichlet allocation lda model . learning curve learning curves . learning method learning methods learning model learning algorithm learning algorithms . learning problem learning problems learning task . learning rate . learning system . least squares . likelihood function . linea""]",bert,,sentence-transformers/all-mpnet-base-v2
113,learning rate,learning rate,"[""k means k-means . k nearest neighbors k-nearest neighbor k-nearest neighbors . k-means objective . kernel function . kernel regression . l1 penalty . labeled data . large margin classifier . lasso regression . latent dirichlet allocation lda model . learning curve learning curves . learning method learning methods learning model learning algorithm learning algorithms . learning problem learning problems learning task . learning rate . learning system . least squares . likelihood function . linea""]",bert,,sentence-transformers/all-mpnet-base-v2
114,learning system,learning system,"[""k means k-means . k nearest neighbors k-nearest neighbor k-nearest neighbors . k-means objective . kernel function . kernel regression . l1 penalty . labeled data . large margin classifier . lasso regression . latent dirichlet allocation lda model . learning curve learning curves . learning method learning methods learning model learning algorithm learning algorithms . learning problem learning problems learning task . learning rate . learning system . least squares . likelihood function . linea""]",bert,,sentence-transformers/all-mpnet-base-v2
115,least squares,least squares,"[""k means k-means . k nearest neighbors k-nearest neighbor k-nearest neighbors . k-means objective . kernel function . kernel regression . l1 penalty . labeled data . large margin classifier . lasso regression . latent dirichlet allocation lda model . learning curve learning curves . learning method learning methods learning model learning algorithm learning algorithms . learning problem learning problems learning task . learning rate . learning system . least squares . likelihood function . linea"", ""regression coefficients . regression function . regression model regression models . regression problem . regularization . regularized linear regression . regularized logistic regression . sentiment analysis . sentiment classifier . sigmoid function . spam filtering spam classifier . square distances squared distance . square matrix . square projection error squared projection error . squared error . standard deviation . standard least squares . stochastic gradient algorithm stochastic gradient ""]",bert,,sentence-transformers/all-mpnet-base-v2
116,likelihood function,likelihood function,"[""k means k-means . k nearest neighbors k-nearest neighbor k-nearest neighbors . k-means objective . kernel function . kernel regression . l1 penalty . labeled data . large margin classifier . lasso regression . latent dirichlet allocation lda model . learning curve learning curves . learning method learning methods learning model learning algorithm learning algorithms . learning problem learning problems learning task . learning rate . learning system . least squares . likelihood function . linea""]",bert,,sentence-transformers/all-mpnet-base-v2
117,linear algebra,linear algebra,"[""k means k-means . k nearest neighbors k-nearest neighbor k-nearest neighbors . k-means objective . kernel function . kernel regression . l1 penalty . labeled data . large margin classifier . lasso regression . latent dirichlet allocation lda model . learning curve learning curves . learning method learning methods learning model learning algorithm learning algorithms . learning problem learning problems learning task . learning rate . learning system . least squares . likelihood function . linea""]",bert,,sentence-transformers/all-mpnet-base-v2
118,linear classifier,linear classifier::;linear classifiers,"[""k means k-means . k nearest neighbors k-nearest neighbor k-nearest neighbors . k-means objective . kernel function . kernel regression . l1 penalty . labeled data . large margin classifier . lasso regression . latent dirichlet allocation lda model . learning curve learning curves . learning method learning methods learning model learning algorithm learning algorithms . learning problem learning problems learning task . learning rate . learning system . least squares . likelihood function . linea""]",bert,,sentence-transformers/all-mpnet-base-v2
119,linear kernel,linear kernel,"[""k means k-means . k nearest neighbors k-nearest neighbor k-nearest neighbors . k-means objective . kernel function . kernel regression . l1 penalty . labeled data . large margin classifier . lasso regression . latent dirichlet allocation lda model . learning curve learning curves . learning method learning methods learning model learning algorithm learning algorithms . learning problem learning problems learning task . learning rate . learning system . least squares . likelihood function . linea""]",bert,,sentence-transformers/all-mpnet-base-v2
120,linear model,linear model::;linear models,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d"", ""k means k-means . k nearest neighbors k-nearest neighbor k-nearest neighbors . k-means objective . kernel function . kernel regression . l1 penalty . labeled data . large margin classifier . lasso regression . latent dirichlet allocation lda model . learning curve learning curves . learning method learning methods learning model learning algorithm learning algorithms . learning problem learning problems learning task . learning rate . learning system . least squares . likelihood function . linea""]",bert,,sentence-transformers/all-mpnet-base-v2
121,linear regression,linear regression,"[""k means k-means . k nearest neighbors k-nearest neighbor k-nearest neighbors . k-means objective . kernel function . kernel regression . l1 penalty . labeled data . large margin classifier . lasso regression . latent dirichlet allocation lda model . learning curve learning curves . learning method learning methods learning model learning algorithm learning algorithms . learning problem learning problems learning task . learning rate . learning system . least squares . likelihood function . linea"", ""regression coefficients . regression function . regression model regression models . regression problem . regularization . regularized linear regression . regularized logistic regression . sentiment analysis . sentiment classifier . sigmoid function . spam filtering spam classifier . square distances squared distance . square matrix . square projection error squared projection error . squared error . standard deviation . standard least squares . stochastic gradient algorithm stochastic gradient ""]",bert,,sentence-transformers/all-mpnet-base-v2
122,local minimum,local minimum,"[""k means k-means . k nearest neighbors k-nearest neighbor k-nearest neighbors . k-means objective . kernel function . kernel regression . l1 penalty . labeled data . large margin classifier . lasso regression . latent dirichlet allocation lda model . learning curve learning curves . learning method learning methods learning model learning algorithm learning algorithms . learning problem learning problems learning task . learning rate . learning system . least squares . likelihood function . linea""]",bert,,sentence-transformers/all-mpnet-base-v2
123,local optima,local optima::;local optimum,"[""k means k-means . k nearest neighbors k-nearest neighbor k-nearest neighbors . k-means objective . kernel function . kernel regression . l1 penalty . labeled data . large margin classifier . lasso regression . latent dirichlet allocation lda model . learning curve learning curves . learning method learning methods learning model learning algorithm learning algorithms . learning problem learning problems learning task . learning rate . learning system . least squares . likelihood function . linea""]",bert,,sentence-transformers/all-mpnet-base-v2
124,locality sensitive hashing,locality sensitive hashing,"[""k means k-means . k nearest neighbors k-nearest neighbor k-nearest neighbors . k-means objective . kernel function . kernel regression . l1 penalty . labeled data . large margin classifier . lasso regression . latent dirichlet allocation lda model . learning curve learning curves . learning method learning methods learning model learning algorithm learning algorithms . learning problem learning problems learning task . learning rate . learning system . least squares . likelihood function . linea""]",bert,,sentence-transformers/all-mpnet-base-v2
125,log likelihood,log likelihood,"[""k means k-means . k nearest neighbors k-nearest neighbor k-nearest neighbors . k-means objective . kernel function . kernel regression . l1 penalty . labeled data . large margin classifier . lasso regression . latent dirichlet allocation lda model . learning curve learning curves . learning method learning methods learning model learning algorithm learning algorithms . learning problem learning problems learning task . learning rate . learning system . least squares . likelihood function . linea""]",bert,,sentence-transformers/all-mpnet-base-v2
126,logistic function,logistic function,"[""k means k-means . k nearest neighbors k-nearest neighbor k-nearest neighbors . k-means objective . kernel function . kernel regression . l1 penalty . labeled data . large margin classifier . lasso regression . latent dirichlet allocation lda model . learning curve learning curves . learning method learning methods learning model learning algorithm learning algorithms . learning problem learning problems learning task . learning rate . learning system . least squares . likelihood function . linea""]",bert,,sentence-transformers/all-mpnet-base-v2
127,logistic regression,logistic regression,"[""k means k-means . k nearest neighbors k-nearest neighbor k-nearest neighbors . k-means objective . kernel function . kernel regression . l1 penalty . labeled data . large margin classifier . lasso regression . latent dirichlet allocation lda model . learning curve learning curves . learning method learning methods learning model learning algorithm learning algorithms . learning problem learning problems learning task . learning rate . learning system . least squares . likelihood function . linea"", ""regression coefficients . regression function . regression model regression models . regression problem . regularization . regularized linear regression . regularized logistic regression . sentiment analysis . sentiment classifier . sigmoid function . spam filtering spam classifier . square distances squared distance . square matrix . square projection error squared projection error . squared error . standard deviation . standard least squares . stochastic gradient algorithm stochastic gradient ""]",bert,,sentence-transformers/all-mpnet-base-v2
